Index,Name,Artist,Album,Mood
373,Will You Be Ready To Go Home?,Baptizing,Will You Be Ready To Go Home?,Sad
374,Were You There?,Baptizing,Were You There?,Sad
375,Walk With Him Again,Baptizing,Walk With Him Again,Sad
376,Gospel Medley,Baptizing,Gospel Medley,Sad
377,Anthem for the Year 2000,The Best Of - Volume One,Anthem for the Year 2000,Happy
378,Freak,The Best Of - Volume One,Freak,Energetic
379,Ana's Song (Open Fire),The Best Of - Volume One,Ana's Song (Open Fire),Sad
380,Emotion Sickness,The Best Of - Volume One,Emotion Sickness,Sad
381,Israel's Son,The Best Of - Volume One,Israel's Son,Energetic
382,Tomorrow,The Best Of - Volume One,Tomorrow,Energetic
383,Cemetery,The Best Of - Volume One,Cemetery,Sad
384,The Door,The Best Of - Volume One,The Door,Energetic
385,Miss You Love,The Best Of - Volume One,Miss You Love,Sad
386,Abuse Me,The Best Of - Volume One,Abuse Me,Sad
387,Pure Massacre,The Best Of - Volume One,Pure Massacre,Energetic
388,Untitled,The Best Of - Volume One,Untitled,Happy
389,New Race,The Best Of - Volume One,New Race,Energetic
390,Trash,The Best Of - Volume One,Trash,Energetic
391,Ana's Song (Open Fire) - Acoustic Re-Mix,The Best Of - Volume One,Ana's Song (Open Fire) - Acoustic Re-Mix,Sad
392,Madman - Vocal Mix,The Best Of - Volume One,Madman - Vocal Mix,Happy
393,Blind,The Best Of - Volume One,Blind,Energetic
394,Punk Song 2,The Best Of - Volume One,Punk Song 2,Energetic
395,Wasted / Fix Me,The Best Of - Volume One,Wasted / Fix Me,Energetic
396,Minor Threat,The Best Of - Volume One,Minor Threat,Energetic
397,Freak - Remix for Us Rejects,The Best Of - Volume One,Freak - Remix for Us Rejects,Happy
398,Running Up The Stairs,Great Big Boy,Running Up The Stairs,Sad
399,The Other Day (Near Santa Cruz),Great Big Boy,The Other Day (Near Santa Cruz),Happy
400,Great Big Boy,Great Big Boy,Great Big Boy,Sad
401,Driver,Great Big Boy,Driver,Sad
402,Pepe Hush,Great Big Boy,Pepe Hush,Sad
403,Big Mob On The Hill,Great Big Boy,Big Mob On The Hill,Happy
404,Ice Cream,Great Big Boy,Ice Cream,Sad
405,Nothin' Works,Great Big Boy,Nothin' Works,Happy
406,Summer's Growing Old,Great Big Boy,Summer's Growing Old,Sad
407,I Still Miss Someone,Great Big Boy,I Still Miss Someone,Sad
408,Hawks Circle the Mountain,Terminal Twilight,Hawks Circle the Mountain,Sad
409,Snowswept,Terminal Twilight,Snowswept,Sad
410,Kansas Regrets,Terminal Twilight,Kansas Regrets,Calm
411,Red Leaves,Terminal Twilight,Red Leaves,Sad
412,Floor 67,Terminal Twilight,Floor 67,Sad
413,Natasha of the Burning Woods,Terminal Twilight,Natasha of the Burning Woods,Sad
414,Searise,Terminal Twilight,Searise,Sad
415,A Rumour of Twilight,Terminal Twilight,A Rumour of Twilight,Calm
416,The Howling Wind,Terminal Twilight,The Howling Wind,Sad
417,Harass Me,Harass Me,Harass Me,Happy
418,Chow Down,Sick'em,Chow Down,Happy
419,Tired Of Nothing,Sick'em,Tired Of Nothing,Happy
420,Knot,Sick'em,Knot,Happy
421,In Lust You Trust,Sick'em,In Lust You Trust,Sad
422,Sink,Sick'em,Sink,Happy
423,Gun,Sick'em,Gun,Energetic
424,Lorna,Sick'em,Lorna,Energetic
425,You Smell Lonely,Sick'em,You Smell Lonely,Energetic
426,No Fucking War,Sick'em,No Fucking War,Energetic
427,Dead Men Don't Rape,Sick'em,Dead Men Don't Rape,Energetic
428,8-Ball Deluxe,Sick'em,8-Ball Deluxe,Energetic
429,Can We Laugh Now ?,Sick'em,Can We Laugh Now ?,Happy
430,Girl Germs,Kill Rock Stars,Girl Germs,Sad
431,Loch Ness,Kill Rock Stars,Loch Ness,Energetic
432,Don't Mix the Colors,Kill Rock Stars,Don't Mix the Colors,Happy
433,N.O.U. Cooking With Gas!,Kill Rock Stars,N.O.U. Cooking With Gas!,Sad
434,You Speak Jealousy,Kill Rock Stars,You Speak Jealousy,Energetic
435,Narrow,Kill Rock Stars,Narrow,Sad
436,My Red Self,Kill Rock Stars,My Red Self,Sad
437,"Strong, Warm, and in Command",Kill Rock Stars,"Strong, Warm, and in Command",Happy
438,Feels Blind,Kill Rock Stars,Feels Blind,Energetic
439,Reaper Song,Kill Rock Stars,Reaper Song,Energetic
440,Ever Since My Accident,Kill Rock Stars,Ever Since My Accident,Energetic
441,Immediate Impound Zone,Kill Rock Stars,Immediate Impound Zone,Sad
442,Make You Come,Kill Rock Stars,Make You Come,Happy
443,Everybody and Their Dog,Kill Rock Stars,Everybody and Their Dog,Energetic
444,Red Dress,Kill Rock Stars,Red Dress,Happy
445,8-Ball Deluxe,Kill Rock Stars,8-Ball Deluxe,Energetic
446,I.O.U.,Kill Rock Stars,I.O.U.,Happy
447,You Will Be A Hot Dancer,Enjoy Incubus,You Will Be A Hot Dancer,Energetic
448,Shaft,Enjoy Incubus,Shaft,Energetic
449,Take Me to Your Leader,Enjoy Incubus,Take Me to Your Leader,Energetic
450,Version,Enjoy Incubus,Version,Energetic
451,Azwethinkweiz,Enjoy Incubus,Azwethinkweiz,Happy
452,Hilikus,Enjoy Incubus,Hilikus,Energetic
453,Hidden Bonus,Enjoy Incubus,Hidden Bonus,Sad
454,My Squad (Moskva),My Squad (Moskva),My Squad (Moskva),Happy
455,Good Clean Fun,Seven Turns,Good Clean Fun,Happy
456,Let Me Ride,Seven Turns,Let Me Ride,Happy
457,Low Down Dirty Mean,Seven Turns,Low Down Dirty Mean,Happy
458,Shine It On,Seven Turns,Shine It On,Happy
459,Loaded Dice,Seven Turns,Loaded Dice,Happy
460,Seven Turns,Seven Turns,Seven Turns,Happy
461,Gambler's Roll,Seven Turns,Gambler's Roll,Sad
462,True Gravity,Seven Turns,True Gravity,Sad
463,It Ain't Over Yet,Seven Turns,It Ain't Over Yet,Happy
464,The Devil Went Down to Georgia,A Decade Of Hits,The Devil Went Down to Georgia,Happy
465,The South's Gonna Do It Again,A Decade Of Hits,The South's Gonna Do It Again,Happy
466,Stroker's Theme,A Decade Of Hits,Stroker's Theme,Happy
467,Uneasy Rider,A Decade Of Hits,Uneasy Rider,Happy
468,Let It Roll,A Decade Of Hits,Let It Roll,Energetic
469,In America,A Decade Of Hits,In America,Happy
470,Still In Saigon,A Decade Of Hits,Still In Saigon,Happy
471,Long Haired Country Boy,A Decade Of Hits,Long Haired Country Boy,Happy
472,The Legend Of Wooley Swamp,A Decade Of Hits,The Legend Of Wooley Swamp,Sad
473,Everytime I See Him,A Decade Of Hits,Everytime I See Him,Happy
474,Not Quite You and Me,Stories I Could Tell,Not Quite You and Me,Sad
475,34 to 96,Stories I Could Tell,34 to 96,Sad
476,Serenity,Stories I Could Tell,Serenity,Sad
477,Ridin' Shotgun,Stories I Could Tell,Ridin' Shotgun,Sad
478,Simple,Stories I Could Tell,Simple,Sad
479,Across the Pond,Stories I Could Tell,Across the Pond,Sad
480,Wild Ride,Stories I Could Tell,Wild Ride,Sad
481,This Dance,Stories I Could Tell,This Dance,Sad
482,Dave,Stories I Could Tell,Dave,Sad
483,'66 Falcon,Stories I Could Tell,'66 Falcon,Sad
484,Return to Tunguska,A Valid Path,Return to Tunguska,Sad
485,More Lost Without You,A Valid Path,More Lost Without You,Happy
486,Mammagamma 04,A Valid Path,Mammagamma 04,Happy
487,We Play the Game,A Valid Path,We Play the Game,Sad
488,Tijuaniac,A Valid Path,Tijuaniac,Calm
489,L’Arc en Ciel,A Valid Path,L’Arc en Ciel,Happy
490,A Recurring Dream Within a Dream,A Valid Path,A Recurring Dream Within a Dream,Sad
491,You Can Run,A Valid Path,You Can Run,Happy
492,Chomolungma,A Valid Path,Chomolungma,Sad
493,The Wizard - Live,Ozzfest 2001 The Second Millennium,The Wizard - Live,Energetic
494,The Love Song - Live,Ozzfest 2001 The Second Millennium,The Love Song - Live,Energetic
495,New Abortion - Live,Ozzfest 2001 The Second Millennium,New Abortion - Live,Energetic
496,Blood Brothers - Live,Ozzfest 2001 The Second Millennium,Blood Brothers - Live,Energetic
497,With You - Live,Ozzfest 2001 The Second Millennium,With You - Live,Energetic
498,Super Terrorizer - Live,Ozzfest 2001 The Second Millennium,Super Terrorizer - Live,Energetic
499,Fear - Live,Ozzfest 2001 The Second Millennium,Fear - Live,Energetic
